Simulation,Category,Object,Parameter,Data File
DAY_AHEAD,Generator,25_PV-3,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,25_PV-3,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,25_PV-3,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,25_PV-3,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,10_PV-3,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,10_PV-3,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,10_PV-3,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,10_PV-3,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,11_PV-2,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,11_PV-2,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,11_PV-2,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,11_PV-2,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,12_PV-5,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,12_PV-5,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,12_PV-5,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,12_PV-5,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,13_PV-2,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,13_PV-2,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,13_PV-2,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,13_PV-2,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,27_PV-3,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,27_PV-3,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,27_PV-3,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,27_PV-3,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,28_PV-3,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,28_PV-3,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,28_PV-3,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,28_PV-3,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,29_PV-2,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,29_PV-2,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,29_PV-2,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,29_PV-2,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,30_PV-2,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,30_PV-2,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,30_PV-2,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,30_PV-2,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,31_PV-2,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,31_PV-2,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,31_PV-2,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,31_PV-2,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,9_PV-4,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,9_PV-4,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,9_PV-4,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,9_PV-4,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,11_PV-3,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,11_PV-3,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,11_PV-3,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,11_PV-3,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,28_PV-4,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,28_PV-4,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,28_PV-4,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,28_PV-4,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,31_PV-3,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,31_PV-3,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,31_PV-3,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,31_PV-3,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,10_WIND,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,10_WIND,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,10_WIND,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,10_WIND,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,10_WIND-2,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,10_WIND-2,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,10_WIND-2,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,10_WIND-2,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,17_WIND,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,17_WIND,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,17_WIND,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,17_WIND,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,18_WIND,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,18_WIND,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,18_WIND,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,18_WIND,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,2_WIND,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,2_WIND,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,2_WIND,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,2_WIND,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,20_WIND,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,20_WIND,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,20_WIND,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,20_WIND,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,21_WIND,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,21_WIND,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,21_WIND,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,21_WIND,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,21_WIND-2,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,21_WIND-2,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,21_WIND-2,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,21_WIND-2,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,24_WIND,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,24_WIND,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,24_WIND,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,24_WIND,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,31_WIND,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,31_WIND,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,31_WIND,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,31_WIND,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,31_WIND-2,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,31_WIND-2,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,31_WIND-2,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,31_WIND-2,PMax MW,REAL_TIME_renewables.csv
