Year,Month,Day,Period,1,2,3
2020,9,23,9,19842.9206,16900.333684559868,10771.196820472833
2020,9,23,10,20964.8124,18158.103047939338,11753.041784558744
2020,9,23,11,19115.6602,17726.46770338058,13224.996197833929
2020,9,23,12,21189.4378,19990.4378713098,16126.276434767307
2020,9,23,13,25340.209400000003,23025.654357457297,18169.010773536527
2020,9,23,14,27836.410000000007,25382.901422771007,19294.002201425
2020,9,23,15,30464.1092,27990.389524128605,20582.516677892487
2020,9,23,16,32602.123800000005,30216.37827846226,23590.29458059256
2020,9,23,17,34704.412800000006,31590.533146975,25420.39350910356
2020,9,23,18,35585.02660000001,32675.95527960896,28622.385774602448
2020,9,23,19,35301.0122,33125.48148435172,30851.622228254157
2020,9,23,20,34390.4908,32941.915141013174,31444.72609205793
2020,9,23,21,32043.87120000001,31874.721331146506,31023.996506164367
2020,9,23,22,28829.64800000001,29031.987577129945,28769.99969675383
2020,9,23,23,27588.7514,27251.95903699896,26294.288306836985
2020,9,23,24,25012.6762,25187.103354610605,24265.76799131833
2020,9,24,1,22791.7106,23202.32069680676,22077.06336602513
2020,9,24,2,20917.5146,20227.77080504404,18853.4757895894
2020,9,24,3,19362.298,17802.25413292359,15386.964149737269
2020,9,24,4,18099.3004,16299.453115315484,13495.026499851365
2020,9,24,5,22187.3704,19002.29182575332,12184.794994962282
2020,9,24,6,22184.794,19027.48988407224,11530.219826337056
2020,9,24,7,22636.2764,19242.30461694201,11284.824375764854
2020,9,24,8,23594.60939999999,19984.483348548583,11557.37706063982
2020,9,24,9,24255.328,20744.042734613107,12985.332662048651
2020,9,24,10,26628.70959999999,23232.970925215726,15626.20431059862
2020,9,24,11,29135.1062,25473.48518791004,17601.647024294594
2020,9,24,12,33867.891,28573.12280638446,21021.141358586643
2020,9,24,13,39405.6142,32450.712859632244,23595.143635490367
2020,9,24,14,45149.58620000001,36756.72960896874,26580.33295339406
2020,9,24,15,49999.693,40431.29372839229,28466.36434120106
2020,9,24,16,52855.2418,43146.25058477064,30795.79902859939
2020,9,24,17,53425.3642,44788.78510083202,32461.44466444488
2020,9,24,18,52847.2592,45401.67290267932,34293.57370938743
2020,9,24,19,50763.173,45115.8103022257,35523.65430521156
2020,9,24,20,47515.65900000001,43361.93294021694,35418.43326571384
2020,9,24,21,43550.31860000001,40736.30963294457,34230.00204151655
2020,9,24,22,38339.7338,36397.06347513916,31283.33420211696
2020,9,24,23,35362.88,32597.582069243108,28470.879335451904
2020,9,24,24,31780.4658,29294.85450472196,25698.539997047286
2020,9,25,1,28960.62320000001,26877.33759945657,23830.004258710476
2020,9,25,2,26404.8904,23581.680242311868,20213.82829134008
2020,9,25,3,24266.9038,21185.657590836352,16194.209009135346
2020,9,25,4,23087.4548,19785.593790022853,14165.90866601056
2020,9,25,5,22314.147799999995,19185.82215450069,13173.912499900329
2020,9,25,6,22227.1414,18950.88655484417,12452.724155310609
2020,9,25,7,22580.7424,19119.5258137794,12007.805091339818
2020,9,25,8,23561.824000000008,19864.168293031096,12398.31823061792
2020,9,25,9,24287.7822,20641.27293882665,13878.036340268953
2020,9,25,10,26688.6512,23120.69541106572,16353.975849153192
2020,9,25,11,29527.7668,25438.691280312996,18497.612212546537
2020,9,25,12,35284.4942,28807.431377823472,21583.28574565814
2020,9,25,13,41375.1984,32408.482219233632,25262.33713656702
2020,9,25,14,46855.32520000001,36249.90296550658,28461.16392351842
2020,9,25,15,50918.4832,39385.23308804924,31395.5380084168
2020,9,25,16,53345.011600000005,42107.67766584274,33618.469547332366
2020,9,25,17,53987.73700000001,43481.32396688458,35273.3200770036
2020,9,25,18,53442.18240000001,44337.9337819733,36335.92563590545
2020,9,25,19,51690.71540000001,43848.61340673714,37550.00988902138
2020,9,25,20,48618.4652,42809.71686682554,38428.30787392048
2020,9,25,21,44058.4302,40365.85259933264,37076.568647280605
2020,9,25,22,38990.9218,36513.18935432074,32951.64720276306
2020,9,25,23,35560.40800000001,33009.83151829264,29584.31063603068
2020,9,25,24,32021.28259999999,29617.516929176138,27063.7718470393
2020,9,26,1,28931.7846,27221.96059163549,24722.79198783528
2020,9,26,2,26008.8736,23942.83974683593,20692.134880921127
2020,9,26,3,24000.3068,21412.25561449251,16875.7068546073
2020,9,26,4,22896.8486,19964.55030564704,14597.165996597314
2020,9,26,5,22150.1512,19131.98221748066,13369.975779004017
2020,9,26,6,22102.7212,18992.231131277207,12556.039208322656
2020,9,26,7,22509.958400000007,19166.623853115816,12235.42476982592
2020,9,26,8,23420.6602,19995.460367441687,12367.832427433474
2020,9,26,9,24197.328200000004,20809.324994821625,13803.636541324024
2020,9,26,10,26604.8012,23299.614406725952,16255.956433958892
2020,9,26,11,29120.911,25635.824148689622,18024.48838476548
2020,9,26,12,34171.588599999995,28683.94912051837,21167.25572341733
2020,9,26,13,40165.2724,32261.179690897527,24613.12659482938
2020,9,26,14,46304.595400000006,35889.41969713838,28189.661196389487
2020,9,26,15,51582.5116,39039.59674066537,31332.49478157397
2020,9,26,16,55327.4856,41927.870011729,34108.56038117053
2020,9,26,17,56585.771400000005,43761.49294233802,36323.406547548606
2020,9,26,18,55952.87860000001,44788.83603469636,38302.73701790882
2020,9,26,19,53964.9258,44966.69923823722,39532.94200445346
2020,9,26,20,49933.7792,44008.07590300091,39856.37390463736
2020,9,26,21,45269.7,41440.88693083561,38225.55569430434
2020,9,26,22,39432.1112,36807.45701364226,34595.634210238575
2020,9,26,23,35633.1448,33242.51912862825,31115.13813517153
2020,9,26,24,32076.228400000007,30044.99849037325,28210.934029869222
2020,9,27,1,29068.360600000007,27441.57133518409,25515.28226961436
2020,9,27,2,26309.3512,24379.207648912576,21660.244318697827
2020,9,27,3,24319.065799999997,21770.109545492876,17545.673507477066
2020,9,27,4,23190.8798,20374.75672806176,15377.440906160826
2020,9,27,5,21939.970400000013,19135.031457610945,13814.129134762909
2020,9,27,6,21872.9024,18886.07535752236,13057.921282250452
2020,9,27,7,22174.4424,19009.307910383846,12618.423817834862
2020,9,27,8,23005.9966,19633.78198542721,12826.126675928426
2020,9,27,9,23546.5362,20277.09545987524,14227.359800893992
2020,9,27,10,25602.6726,22541.294982763746,16691.08350493515
2020,9,27,11,27696.1146,24448.129690938247,18747.096229132185
2020,9,27,12,32420.5816,27166.46957447462,21765.43723097074
2020,9,27,13,38269.028,30323.39557848485,25283.985009786127
2020,9,27,14,44473.1572,33290.63051531151,28693.51708741812
2020,9,27,15,49982.4726,36120.55638489448,32264.963417697745
2020,9,27,16,52292.2896,38054.901544451495,35119.69293046833
2020,9,27,17,53536.00260000001,39354.2207767281,37164.34732616912
2020,9,27,18,52926.5482,39923.1036308446,39371.7448914452
2020,9,27,19,50937.8412,40134.465213736046,41151.13992460202
2020,9,27,20,47922.83,39205.54985167632,41390.66569401258
2020,9,27,21,43697.5,37203.86506937821,40048.50898273381
2020,9,27,22,38064.0198,33823.51318005328,35714.38972013717
2020,9,27,23,34716.19,31267.34152875579,32058.884104909503
2020,9,27,24,31158.7486,28662.90743496412,28311.99167902394
2020,9,28,1,28518.735999999983,26554.04474063314,25461.294822262287
2020,9,28,2,25933.637,23442.90508789484,21497.51310856219
2020,9,28,3,23923.1374,20857.870162047584,17333.10836183768
2020,9,28,4,22832.3998,19454.506037619936,15018.03128839794
2020,9,28,5,22565.065,19246.9894618576,13699.300641979426
2020,9,28,6,22395.8706,19069.75941072496,12934.32308865168
2020,9,28,7,22670.1216,19229.255760448777,12385.78008342058
2020,9,28,8,23666.989800000007,19900.918532365056,12478.15717743997
2020,9,28,9,24337.44619999999,20788.412949849517,13730.420210414322
2020,9,28,10,26743.075600000004,23272.748070840567,16380.959824878308
2020,9,28,11,29275.3426,25446.354949164863,19027.606897725207
2020,9,28,12,33950.6696,28624.916343704605,21541.218623907007
2020,9,28,13,39122.760400000014,31705.063412886808,24870.337333016323
2020,9,28,14,44537.59160000001,34398.87085529512,28532.92629094066
2020,9,28,15,50026.0462,36334.24107277786,31916.412370380604
2020,9,28,16,52666.95760000001,37994.68647940924,35360.30119844502
2020,9,28,17,53529.3818,38918.206271027935,37428.71409618029
2020,9,28,18,52436.807,38749.179546376334,39783.02775472595
2020,9,28,19,50649.05620000001,38103.908395974046,41483.60148030738
2020,9,28,20,46951.15660000002,36878.23358097374,41888.52061224457
2020,9,28,21,42588.047200000015,34768.60708546767,39884.950145775954
2020,9,28,22,37657.5694,31292.687336895488,36066.20489750626
2020,9,28,23,34926.4706,29183.94470591216,31313.559738174645
2020,9,28,24,31436.054600000003,26921.391794845546,27783.361013019818
2020,9,29,1,28724.6844,25188.695553054888,26123.80339249741
2020,9,29,2,26165.4936,22506.395123534185,21744.690040989142
2020,9,29,3,24076.7456,20327.10346307657,17594.422609287823
2020,9,29,4,23006.39,19412.639663122427,15233.00979379454
2020,9,29,5,18951.2578,16538.169330026274,14157.318983114164
2020,9,29,6,18679.4292,16484.442988476,13482.796269656212
2020,9,29,7,18772.874,16699.37082731417,13052.766961935622
2020,9,29,8,19410.0208,17281.149938530772,12900.47346435986
2020,9,29,9,19683.9414,17631.32298909445,13240.291936118392
2020,9,29,10,21150.6268,19037.29590185391,13761.778935239476
2020,9,29,11,22071.955800000007,19950.34940975965,16118.488948608174
2020,9,29,12,24698.1636,21963.639992812696,20486.24786135422
2020,9,29,13,27403.168600000005,23720.791178913456,25109.21463837408
2020,9,29,14,31782.76880000001,26060.67610612265,29050.47435387316
2020,9,29,15,36538.4686,28353.165414912983,32284.18508150812
2020,9,29,16,40147.7296,30491.593834874617,35759.353228772656
2020,9,29,17,41923.2196,32215.572247737546,38679.6820459024
2020,9,29,18,43224.6674,33318.195186491925,41414.26656321024
2020,9,29,19,42492.2858,34104.71756877764,44957.196287628525
2020,9,29,20,40620.164,34032.677664580464,44925.09741057378
2020,9,29,21,37252.4384,32536.7226839738,42550.2447479648
2020,9,29,22,32637.0922,29397.12313740602,38517.81314127221
2020,9,29,23,30733.5274,27547.51144791877,33261.69698929888
2020,9,29,24,27501.293200000004,25417.978109385876,29949.24517984406
2020,9,30,1,24759.0588,23375.809345925503,27385.93960907649
2020,9,30,2,22515.715,20492.27109312095,22970.07330006372
2020,9,30,3,20564.4734,18037.773307820185,18697.787436712424
2020,9,30,4,19258.3406,16876.223508670588,15856.735974848933
2020,9,30,5,17255.2802,15434.901485415074,14486.70020141462
2020,9,30,6,17106.531599999995,15400.312575802243,13415.121043760611
2020,9,30,7,17253.552200000002,15533.85247884884,12750.872770460726
2020,9,30,8,17842.3684,16135.715487789814,12602.303656374695
